coefficient,value,model_domain,model_version
NE_MCAID_NORIGDIS_NEM80_84,1.68,CMS-HCC,C28
SNPNE_NMCAID_ORIGDIS_NEM65,1.724,CMS-HCC,C28
CPA_HCC139,0.217,CMS-HCC,C28
CPD_HCC195,4.056,CMS-HCC,C28
CPD_HCC248,0.234,CMS-HCC,C28
CPD_HCC300,0.52,CMS-HCC,C28
INS_HCC77,2.893,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM65,1.744,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM45_54,2.056,CMS-HCC,C28
INS_HCC193,0.015,CMS-HCC,C28
INS_HCC279,1.12,CMS-HCC,C28
CPA_HCC277,2.568,CMS-HCC,C28
CPD_HCC6,0.719,CMS-HCC,C28
INS_HCC213,0.263,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF95_GT,2.369,CMS-HCC,C28
INS_HCC182,0.314,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF65,1.742,CMS-HCC,C28
CPA_HCC211,1.091,CMS-HCC,C28
CPA_HCC213,0.467,CMS-HCC,C28
CPD_HCC17,3.877,CMS-HCC,C28
INS_DIABETES_HF_V28,0.182,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM65,1.113,CMS-HCC,C28
CPA_HCC191,0.571,CMS-HCC,C28
CPA_D5,0,CMS-HCC,C28
INS_HCC36,0.343,CMS-HCC,C28
INS_HCC199,0.181,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF0_34,0.762,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM67,0.643,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM80_84,1.497,CMS-HCC,C28
CPD_HF_HCC238_V28,0.069,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF75_79,2.443,CMS-HCC,C28
CPA_HCC380,1.726,CMS-HCC,C28
CPA_HCC115,0.442,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF85_89,1.793,CMS-HCC,C28
